Jahr;E0;E1;E2;E3;E4;S0;S1;S2;S3;S4;p0;p1;p2;p3;p4;sg0;sg1;sg2;sg3;sg4 
2007;0;7664;12739;52151;250000;0;0;989;13989;97086;0;0,00000883743842364532;0,0000022874;0;0;0;0,15;0,2397;0,42;0,45
2008;0;7664;12739;52151;250000;0;0;989;13989;97086;0;0,00000883743842364532;0,0000022874;0;0;0;0,15;0,2397;0,42;0,45
2009;0;7834;13139;52551;250400;0;0;1007;14007;97104;0;0,00000939679547596607;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2010;0;8004;13469;52881;250730;0;0;1038;14038;97135;0;0,00000912168344007319;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2011;0;8004;13469;52881;250730;0;0;1038;14038;97135;0;0,00000912168344007319;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2012;0;8004;13469;52881;250730;0;0;1038;14038;97135;0;0,00000912168344007319;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2013;0;8130;13469;52881;250730;0;0;1014;14014;97111;0;0,00000933695448585877;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2014;0;8354;13469;52881;250730;0;0;971;13971;97068;0;0,00000974584555229716;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2015;0;8472;13469;52881;250730;0;0;948,68;13949;97046;0;0,00000997598559135481;0,0000022874;0;0;0;0,14;0,2397;0,42;0,45
2016;0;8652;13669;53665;254447;0;0;952,48;14145,16;98474;0;0,00000993621686266693;0,000002254;0;0;0;0,14;0,2397;0,42;0,45
2017;0;8820;13769;54057;256303;0;0;939,57;14228,57;99171,89;0;0,0000100727419680744;0,0000022376;0;0;0;0,14;0,2397;0,42;0,45
2018;0;9000;13996;54949;260532;0;0;948,49;14456,84;100801,7;0;0,00000997798238590873;0,0000022013;0;0;0;0,14;0,2397;0,42;0,45
2019;0;9168;14254;55960;265326;0;0;965,58;14722,3;102656,02;0;0,00000980141565080613;0,0000021616;0;0;0;0,14;0,2397;0,42;0,45
2020;0;9408;14532;57051;270500;0;0;972,79;14997,68;104646,26;0;0,00000972872755659641;0,0000021202;0;0;0;0,14;0,2397;0,42;0,45
2021;0;9744;14753;57918;274612;0;0;950,96;15188,94;106200,42;0;0,00000995208624475943;0,0000020885;0;0;0;0,14;0,2397;0,42;0,45
2022;0;10347;14926;58596;277825;0;0;869,32;15273,87;107350,05;0;0,0000108866564752129;0,0000020643;0;0;0;0,14;0,2397;0,42;0,45
2023;0;10632;15786;61971;277825;0;0;978,49;16212,61;106871,29;0;0,0000096720993403182;0,00000195193244559922;0;0;0;0,14;0,2397;0,42;0,45
2024;0;10932;16179;63514;277825;0;0;996,14;16609,59;106620,21;0;0,00000950066704783686;0,00000190451040456322;0;0;0;0,14;0,2397;0,42;0,45
